2022-04-06 14:01:49 INFO     start sniffing data...
2022-04-06 14:02:34 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:35 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:36 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:37 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:38 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:39 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:40 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:41 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:42 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:43 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:44 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:45 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:46 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:47 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:48 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:49 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:50 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:51 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
